iter	Passed	Remaining
440	1217	1542
441	1220	1541
442	1222	1536
443	1224	1532
444	1225	1528
445	1227	1525
446	1230	1522
447	1233	1520
448	1235	1515
449	1236	1511
450	1238	1507
451	1240	1504
452	1242	1500
453	1247	1500
454	1249	1496
455	1250	1492
456	1252	1488
457	1254	1484
458	1256	1480
459	1258	1477
460	1262	1475
461	1264	1472
462	1266	1468
463	1268	1464
464	1269	1460
465	1271	1456
466	1275	1455
467	1278	1453
468	1280	1449
469	1282	1446
470	1284	1442
471	1286	1438
472	1288	1435
473	1290	1432
474	1292	1428
475	1295	1425
476	1297	1422
477	1299	1419
478	1301	1415
479	1305	1414
480	1307	1410
481	1309	1406
482	1310	1403
483	1312	1399
484	1314	1395
485	1317	1393
486	1319	1389
487	1321	1386
488	1323	1383
489	1325	1379
490	1327	1376
491	1329	1372
492	1331	1369
493	1333	1366
494	1335	1362
495	1338	1359
496	1341	1357
497	1343	1354
498	1345	1350
499	1346	1346
500	1348	1342
501	1350	1339
502	1352	1336
503	1354	1332
504	1355	1329
505	1357	1325
506	1359	1322
507	1361	1318
508	1362	1314
509	1365	1312
510	1368	1309
511	1369	1305
512	1371	1302
513	1373	1298
514	1375	1295
515	1376	1291
516	1378	1288
517	1381	1285
518	1383	1281
519	1385	1278
520	1387	1275
521	1388	1271
522	1390	1268
523	1392	1264
524	1395	1262
525	1399	1261
526	1400	1257
527	1402	1253
528	1404	1250
529	1405	1246
530	1407	1243
531	1409	1239
532	1411	1236
533	1414	1233
534	1415	1230
535	1417	1227
536	1419	1223
537	1420	1219
538	1422	1216
539	1424	1213
540	1426	1210
541	1428	1206
542	1430	1203
543	1431	1200
544	1433	1196
545	1434	1193
546	1436	1189
547	1438	1186
548	1442	1184
549	1443	1181
550	1445	1177
551	1446	1173
552	1448	1170
553	1449	1167
554	1451	1163
555	1453	1160
556	1455	1157
557	1457	1154
558	1459	1151
559	1460	1147
560	1462	1144
561	1464	1141
562	1465	1137
563	1468	1135
564	1470	1132
565	1472	1128
566	1473	1125
